Name,TaxID,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Acanthamoeba polyphaga mimivirus,212035,Viruses;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Mimivirus,4,0.000142167,0.00251152
Acholeplasma axanthum,29552,Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma,1,3.55419e-05,0.00062788
Achromobacter denitrificans,32002,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter,3,0.000106626,0.00188364
Achromobacter spanius,217203,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter,3,0.000106626,0.00188364
Achromobacter xylosoxidans,85698,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter,21,0.000746379,0.0131855
Acidianus manzaensis,282676,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus,1,3.55419e-05,0.00062788
Acidibrevibacterium fodinaquatile,1969806,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidibrevibacterium,1,3.55419e-05,0.00062788
Acidihalobacter yilgarnenesis,2819280,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Acidihalobacter,6,0.000213251,0.00376728
Acidipropionibacterium acidipropionici,1748,Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium,3,0.000106626,0.00188364
Acidipropionibacterium jensenii,1749,Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium,1,3.55419e-05,0.00062788
Acidovorax antarcticus,2743470,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax,2,7.10837e-05,0.00125576
Acidovorax avenae,80867,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax,5,0.000177709,0.0031394
Acidovorax carolinensis,553814,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax,8,0.000284335,0.00502304
Acidovorax citrulli,80869,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax,14,0.000497586,0.00879033
Acidovorax ebreus,721785,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax,1,3.55419e-05,0.00062788
Acidovorax sp. 1608163,2478662,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax,2,7.10837e-05,0.00125576
Acidovorax sp. HDW3,2714923,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax,3,0.000106626,0.00188364
Acidovorax sp. JS42,232721,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax,1,3.55419e-05,0.00062788
Acidovorax sp. KKS102,358220,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax,10,0.000355419,0.0062788
Acidovorax sp. T1,1858609,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax,2,7.10837e-05,0.00125576
